date,total_pnl,trade_count,avg_pnl,total_volume,avg_trade_size,total_fees,unique_accounts,unique_coins,pnl_buy,pnl_sell,volume_buy,volume_sell,buy_sell_ratio
2023-05-01,0.0,3,0.0,477.0,159.0,0.0,1,1,477.0,0.0,0.0,0.0,0.0
2023-12-05,0.0,9,0.0,50005.83,5556.2,12.5,1,2,25007.21,24998.62,0.0,0.0,0.0
2023-12-14,-205.43,11,-18.68,113203.35,10291.21,28.3,1,4,51407.47,61795.880000000005,-527.2331300000001,321.79839300000003,-1.6383906914330322
2023-12-15,-24.63,2,-12.32,10609.95,5304.98,2.65,1,1,10609.95,0.0,-24.632033999999997,0.0,-24632.033999999996
2023-12-16,0.0,3,0.0,15348.77,5116.26,3.84,1,1,15348.77,0.0,0.0,0.0,0.0
2023-12-17,304.98,14,21.78,116278.02,8305.57,29.07,1,3,50312.21,65965.81,0.0,304.982785,0.0
2023-12-18,0.0,2,0.0,31164.18,15582.09,7.79,1,1,31164.179999999997,0.0,0.0,0.0,0.0
2023-12-19,1000.54,15,66.7,91602.41,6106.83,22.9,1,2,29718.92,61883.49,0.0,1000.5386120000001,0.0
2023-12-20,162.73,18,9.04,141636.79,7868.71,35.41,1,2,70737.04,70899.75,0.0,162.732282,0.0
2023-12-21,537.21,49,10.96,125233.97,2555.8,31.31,1,1,62348.4,62885.57,0.0,537.211402,0.0
2023-12-22,141.83,10,14.18,88874.28,8887.43,22.22,1,2,59195.32,29678.96,0.0,141.832675,0.0
2023-12-23,146.94,13,11.3,78438.25,6033.71,19.61,1,2,24316.620000000003,54121.63,0.0,146.936704,0.0
2023-12-24,1008.62,39,25.86,402954.94,10332.18,100.74,1,4,200973.24,201981.7,3.878552,1004.741404,0.00386024515792209
2023-12-25,-245.08,3,-81.69,59948.51,19982.84,14.99,1,1,30096.86,29851.65,0.0,-245.081348,-0.0
2023-12-27,-704.89,28,-25.17,171411.06,6121.82,42.85,1,2,86058.02,85353.04000000001,0.0,-704.8892269999999,-0.0
2023-12-28,-970.73,23,-42.21,100117.25,4352.92,25.03,1,2,50544.01,49573.24,0.0,-970.730876,-0.0
2023-12-29,508.92,50,10.18,569559.72,11391.19,142.39,1,4,309568.74,259990.97999999998,-103.470275,612.392418,-0.16896046227590253
2023-12-30,355.0,52,6.83,702550.21,13510.58,175.64,1,3,326054.41,376495.8,-310.537888,665.5365360000001,-0.4665971056514534
2024-01-01,-129.53,18,-7.2,264239.53,14679.97,66.06,1,3,132184.58,132054.95,281.677062,-411.208522,-0.6849997797462468
2024-01-02,783.98,17,46.12,121348.74,7138.16,30.34,1,2,60282.32000000001,61066.42,783.979116,0.0,783979.1159999999
2024-01-03,866.02,67,12.93,394499.36,5888.05,98.62,1,6,196816.9,197682.46,0.0,866.015507,0.0
2024-01-04,-67.6,5,-13.52,99792.54,19958.51,24.95,1,1,49930.07,49862.47,0.0,-67.60364,-0.0
2024-01-05,164.14,66,2.49,1703942.66,25817.31,425.99,1,2,851889.51,852053.15,-89.45876,253.60032500000003,-0.35275351972234364
2024-01-06,135.58,22,6.16,298521.4,13569.15,74.63,1,3,149192.99,149328.41,-129.30096,264.882624,-0.4881425210340674
2024-01-07,-835.68,97,-8.62,1048850.06,10812.89,262.21,1,8,552950.84,495899.22,117.38037999999999,-953.061615,-0.12316150531516822
2024-01-08,-269.87,128,-2.11,1522452.43,11894.16,380.61,1,6,734253.79,788198.64,-545.8116319999999,275.9371929999999,-1.9780213317552606
2024-01-09,-826.35,70,-11.8,870051.97,12429.31,204.01,1,6,434438.58999999997,435613.38,547.545704,-1373.8955669999998,-0.39853546054527783
2024-01-10,-1517.09,193,-7.86,2057479.48,10660.52,434.04,1,5,1029498.32,1027981.16,-2091.655489,574.564147,-3.6404148422876754
2024-01-11,-164.09,21,-7.81,305314.1,14538.77,75.87,2,3,175805.96000000002,129508.13999999998,300.274083,-464.363584,-0.6466371179466087
2024-01-12,-1925.52,7,-275.07,200082.27,28583.18,49.48,1,2,102003.64,98078.63,0.0,-1925.519024,-0.0
2024-01-15,152.85,14,10.92,50636.1,3616.86,12.65,2,2,50006.24,629.86,0.0,152.85358,0.0
2024-01-16,-2299.17,9,-255.46,116427.33,12936.37,17.32,2,3,20587.08,95840.25,0.0,-2299.171458,-0.0
2024-01-17,813.27,53,15.34,800831.03,15110.02,159.71,1,2,400008.83999999997,400822.19,-32.75793199999999,846.032043,-0.038719447509806056
2024-01-18,68.93,46,1.5,424631.53,9231.12,92.66,1,2,224782.03999999998,199849.49,238.8017,-169.86851000000001,-1.4058115056846363
2024-01-19,-385.42,48,-8.03,428428.97,8925.6,93.05,2,3,202906.83,225522.14,-140.25558,-245.163655,0.5720919444276699
2024-01-20,-146.57,106,-1.38,1070090.51,10095.19,267.52,1,16,559236.61,510853.9,-448.477526,301.902656,-1.4854988241679328
2024-01-21,266.58,11,24.23,103129.74,9375.43,25.78,1,4,50298.229999999996,52831.51,-45.601200000000006,312.18234600000005,-0.14607185355749247
2024-01-22,1375.64,85,16.18,337878.99,3975.05,67.48,2,10,182839.01,155039.97999999998,498.76488099999995,876.876078,0.5687968057479545
2024-01-23,-369.24,45,-8.21,414518.93,9211.53,85.72,1,8,241287.67,173231.26,2804.7302820000004,-3173.975012,-0.8836651690896078
2024-01-24,-2808.35,68,-41.3,965084.59,14192.42,227.77,1,4,448494.47,516590.12,220.74672700000002,-3029.100542,-0.07287536244327227
2024-01-25,-3093.63,6,-515.6,66566.13,11094.36,16.64,1,1,0.0,66566.13,0.0,-3093.6293849999997,-0.0
2024-01-26,90.2,5,18.04,11773.21,2354.64,0.44,2,2,7100.21,4673.0,0.0,90.2,0.0
2024-01-28,-2478.07,11,-225.28,18109.03,1646.28,-0.36,1,1,0.0,18109.03,0.0,-2478.06972,-0.0
2024-01-29,486.56,74,6.58,414208.18,5597.41,103.26,2,11,206971.57,207236.61,54.032264,432.530278,0.12492105599817455
2024-01-30,-173.65,49,-3.54,401011.38,8183.91,100.25,1,2,200592.61000000002,200418.77000000002,-576.288932,402.63474099999996,-1.431291048749694
2024-01-31,-799.84,859,-0.93,6305647.13,7340.68,1549.41,1,8,3176802.63,3128844.5,474.493929,-1274.334746,-0.37234667173288527
2024-02-01,0.0,6,0.0,2008.18,334.7,0.5,1,3,2008.18,0.0,0.0,0.0,0.0
2024-02-02,456.42,42,10.87,474278.43,11292.34,91.57,1,3,235899.96,238378.47,48.349943999999994,408.073529,0.11848312149862211
2024-02-03,223.31,56,3.99,603820.0,10782.5,109.66,1,3,300826.92,302993.08,-330.656573,553.96576,-0.5968888331855867
2024-02-04,47.62,35,1.36,203187.53,5805.36,50.53,1,4,103415.98,99771.55,276.701279,-229.077384,-1.2078996279249807
2024-02-05,-33.45,72,-0.46,770198.26,10697.2,165.55,1,4,385115.98,385082.27999999997,-110.55305100000001,77.098857,-1.4338943715550603
2024-02-06,-215.62,1088,-0.2,8047153.41,7396.28,988.61,1,5,4028968.68,4018184.73,-119.299053,-96.31685399999999,1.2386232177311123
2024-02-07,241.24,15,16.08,6758.73,450.58,0.34,1,2,2258.7599999999998,4499.97,241.24212,0.0,241242.12
2024-02-08,770.76,10,77.08,26051.12,2605.11,3.0,1,5,2867.9500000000003,23183.170000000002,131.82795,638.9280739999999,0.20632642239097732
2024-02-11,983.44,34,28.92,212311.82,6244.47,24.96,1,5,110772.36,101539.45999999999,561.009936,422.43324,1.328040870929402
2024-02-12,913.88,16,57.12,227247.7,14202.98,27.11,1,3,113026.08,114221.62,-3148.989369,4062.8711559999997,-0.7750648428229795
2024-02-13,559.44,14,39.96,1999.99,142.86,-0.04,1,1,0.0,1999.99,0.0,559.44389,0.0
2024-02-14,3830.6,111,34.51,320839.88,2890.45,22.92,2,9,157749.98,163089.9,830.736905,2999.862928,0.27692486223995155
2024-02-15,1840.8,63,29.22,185188.04,2939.49,30.71,2,7,90173.23000000001,95014.81,-1442.790579,3283.588256,-0.43939435371328306
2024-02-16,5491.77,182,30.17,564896.51,3103.83,27.23,2,7,280077.6,284818.91,3783.387834,1708.381,2.214602959993725
2024-02-17,1929.64,94,20.53,406118.07,4320.4,62.06,2,9,203717.66999999998,202400.4,855.03378,1074.60802,0.795669647366258
2024-02-18,477.62,97,4.92,157048.17,1619.05,-3.14,1,5,78285.28,78762.89,470.82483,6.799999999999912,69.22876488751744
2024-02-19,4317.77,101,42.75,286377.2,2835.42,14.85,2,6,141029.74,145347.46,625.17147,3692.597093,0.16930395733701095
2024-02-20,3263.63,39,83.68,119419.72,3062.04,3.07,2,6,57328.05,62091.67,533.39942,2730.229404,0.19536791445092994
2024-02-21,1858.8,22,84.49,108047.52,4911.25,2.97,2,4,58097.17,49950.35,0.0,1858.7985700000002,0.0
2024-02-22,3894.11,88,44.25,373033.87,4239.02,25.45,2,5,187070.26,185963.61000000002,1577.58226,2316.52281,0.6810127541922394
2024-02-23,1418.55,143,9.92,111106.14,776.97,-2.07,1,3,54843.8,56262.340000000004,1149.87315,268.67978,4.279700058932388
2024-02-25,-30.77,5,-6.15,4480.13,896.03,-0.09,1,1,2255.4500000000003,2224.6800000000003,-30.7705,0.0,-30770.499999999996
2024-02-26,4416.85,39,113.25,192187.14,4927.88,-0.1,2,3,93635.16,98551.98,3922.01785,494.82945,7.925983233246863
2024-02-27,888.51,63,14.1,209362.3,3323.21,-3.76,2,7,103236.92,106125.38,-102.652347,991.16408,-0.10356735630758905
2024-02-28,2503.75,45,55.64,171107.13,3802.38,-1.38,1,3,84301.61,86805.51999999999,1308.373015,1195.37422,1.0945291429079482
2024-02-29,9814.0,116,84.6,395666.73,3410.92,1.36,2,8,181173.2,214493.53,4175.482431,5638.514561,0.7405286703260373
2024-03-01,8244.24,137,60.18,472974.7,3452.37,-0.55,1,7,232365.24,240609.46,1475.52,6768.721409,0.21799091628252945
2024-03-02,230.9,31,7.45,63197.56,2038.63,-0.47,2,4,32233.28,30964.28,200.79385700000006,30.106743,6.669176663292231
2024-03-03,8361.09,79,105.84,390745.68,4946.15,-2.51,1,8,191192.29,199553.39,3324.654408,5036.431837,0.6601208664147227
2024-03-04,27799.78,300,92.67,1577996.87,5259.99,-0.56,2,15,777323.2,800673.67,14464.946176,13334.829566,1.084749154059855
2024-03-05,19791.03,180,109.95,841810.32,4676.72,-4.44,1,5,407410.33999999997,434399.98,6661.347956,13129.678085,0.5073504015501991
2024-03-06,6814.83,82,83.11,327218.02,3990.46,-3.36,1,6,160201.6,167016.42,2777.227925,4037.597214,0.6878415775423662
2024-03-08,4271.89,67,63.76,183583.18,2740.05,-3.67,1,5,89875.48,93707.7,514.394296,3757.49194,0.1368982734535757
